Gerência de Vigilância Sanitária,Gerência da Folha de Pagamento,Gerência de Cargos - Carreiras e Desempenho,Gerência de Registro e Evolução Funcional,Diretoria de Cadastro e Tributos Mobiliários,Gerência de Benefícios,Diretoria de Cadastro Imobiliário,Diretoria de Fiscalização de Posturas e Uso do Solo,Diretoria de Parcelamento do Solo,Secretaria Municipal de Administração,Diretoria de Serviços - Manutenção e Segurança do Trabalho,Setor Administrativo - SC,Diretoria de Fiscalização de Edificações,Diretoria de Uso do Solo,Diretoria de Assuntos Jurídicos - SMS,Gerência de Concessão e Benefício,Diretoria de Gestão dos Profissionais da Educação,Diretoria de Crédito Tributário,Diretoria de Fiscalização Eletrônica,Diretoria de Empreendimentos de Impacto ,Diretoria de Perícias Médicas e Acompanhamento Sócio-Funcional,Superintendência de Legislação e Crédito Tributário,Diretoria de Convênio e Programas,Gerência de Pagamentos de Inativos e Pensionistas,Diretoria Técnica de Regulação Ambiental,Diretoria de Fiscalização Ambiental,Gerência de Admissão e Contratação,Diretoria de Arborização Urbana,Diretoria de Tributos Imobiliários,Setor Jurídico - PreviCon,Diretoria de Gestão de Serviços Cemiteriais
50,41,29,29,26,26,23,22,18,16,15,14,14,13,12,12,12,12,12,12,11,10,10,9,9,9,8,8,7,7,7
ALVARÁ SANITÁRIO - 2ª VIA,ADICIONAL DO DIA ESCOLAR  - LEC 90/2011,PROGRESSÃO HORIZONTAL - LEI 2102 / 1990,ADJUNÇÃO,CADASTRO DE EMPRESA - INICIAL,ADICIONAL POR TEMPO DE SERVIÇO - QUINQUÊNIO ,COMUNICAÇÃO DE PARALISAÇÃO DE ATIVIDADES,CONSULTA PRÉVIA,LOTEAMENTO,DESAPROPRIAÇÃO,ISENÇÃO DE IMPOSTO PREDIAL E TERRITORIAL URBANO E DA TAXA DE COLETA DE RESÍDUOS SÓLIDOS – TCRS PARA APOSENTADOS/PENSIONISTAS  ,TRANSFERÊNCIA DE TÍTULO DE JAZIGO PERPÉTUO ,AUTO DE EMBARGO / INTERDIÇÃO DE OBRAS,ALVARÁ DE LOCALIZAÇÃO E FUNCIONAMENTO - 2ª VIA,ORDEM JUDICIAL - CIRURGIA,CERTIDÃO DE TEMPO DE CONTRIBUIÇÃO - CTC,CLASSIFICAÇÃO DE CARGO - EDUCAÇÃO - LEC 90/2011,APROVEITAMENTO DE CRÉDITO POR PAGAMENTO EM DUPLICIDADE,IMPUGNAÇÃO À EXCLUSÃO DO SIMPLES NACIONAL,CERTIDÃO DE LOCALIZAÇÃO,PERÍCIA MÉDICA E SOCIAL - LICENÇA MATERNIDADE,ISENÇÃO DE IMPOSTO PREDIAL E TERRITORIAL URBANO E TAXAS IMOBILIÁRIAS,CHAMAMENTO PÚBLICO 001/2018-REGIME DE MÚTUA COOPERAÇÃO DE EQUIPAMENTOS PÚBLICOS DE SEGURANÇA ALIMENTAR E NUTRICIAL SUSTENTÁVEL DO MUNICÍPIO DE CONTA,CRÉDITO EM CONTA -  APOSENTADO/PENSIONISTA,FCE - AUTORIZAÇÃO PARA MOVIMENTAÇÃO DE TERRA,AUTO DE FISCALIZAÇÃO AMBIENTAL,CONTRATO ADMINISTRATIVO ,AUTORIZAÇÃO PARA CORTE DE ÁRVORE - ÁREA PARTICULAR                                                                               ,CONSULTA PRÉVIA,RENÚNCIA - APOSENTADORIA / PENSÃO,JAZIGO PERPÉTUO CEMITÉRIO NOSSA SENHORA DA GLÓRIA - REGULARIZAÇÃO
ALVARÁ SANITÁRIO - BAIXA,ADICIONAL NOTURNO,PROGRESSÃO POR TITULAÇÃO OU QUALIFICAÇÃO - LEI COMPLEMENTAR 105/2011,AVERBAÇÃO DE TEMPO DE CONTRIBUIÇÃO,ALVARÁ DE LOCALIZAÇÃO E FUNCIONAMENTO - ALTERAÇÃO DE SÓCIO,AUXILIO FUNERAL,CERTIDÃO DE BAIXA DE INSCRIÇÃO – 2ª VIA,CONSULTA PRÉVIA - REVISÃO,CERTIDÃO DE APROVAÇÃO DE LOTEAMENTO,COMISSÃO PERMANENTE DE NEGOCIAÇÃO COLETIVA - COPENC,LIMPEZA GERAL,AUTORIZAÇÃO PARA COLOCAÇÃO DE PLACAS EM JAZIGO COMUNITÁRIO,AUTO DE FISCALIZAÇÃO DE OBRAS,ALVARÁ DE LOCALIZAÇÃO E FUNCIONAMENTO - EVENTO (ÁREA PARTICULAR),REQUISIÇÃO MINISTÉRIO PÚBLICO,DEVOLUÇÃO DE TEMPO DE CONTRIBUIÇÃO,ENQUADRAMENTO DE  CARGO - EDUCAÇÃO - LEC 90/2011,PAGAMENTO NÃO PROCESSADO DE TRIBUTOS,REGIME ESPECIAL PARA EMISSÃO E IMPRESSÃO DE NOTAS FISCAIS,DIRETRIZES PARA CONJUNTO HABITACIONAL,PERÍCIA MÉDICA E SOCIAL - ATESTADO ACIMA DE 15 DIAS,ISENÇÃO DE TRIBUTOS MOBILIÁRIOS,CHAMAMENTO PÚBLICO Nº 002/2018 – SMDS – PROJETO MOVIMENTAR,ISENÇÃO DE DESCONTO DE IMPOSTO DE RENDA –  APOSENTADO/PENSIONISTA,ATESTADO PARA FINS DE BAIXA E HABITE-SE - MEIO AMBIENTE,AUTO DE INFRAÇÃO AMBIENTAL,ALTERAÇÃO DE DADOS FUNCIONAIS,AUTORIZAÇÃO  PARA PODA DE ÁRVORE  - ÁREA PARTICULAR                                                                                          ,CANCELAMENTO DE IMPOSTO PREDIAL E TERRITORIAL URBANO,PENSÃO ALIMENTÍCIA -  APOSENTADO/PENSIONISTA,JAZIGO PERPÉTUO CEMITÉRIO BOM JESUS - REGULARIZAÇÃO
ALVARÁ SANITÁRIO - RENOVAÇÃO - BAIXA COMPLEXIDADE,DÉCIMO TERCEIRO SALÁRIO,PROGRESSÃO FUNCIONAL POR MÉRITO  - LEI COMPLEMENTAR 105 / 2011,CONTAGEM DE TEMPO DE SERVIÇO,CADASTRO DE ANUNCIANTE FIXO - INSCRIÇÃO,AUXILIO NATALIDADE,ALTERAÇÃO CARACTERÍSTICAS DE CONSTRUÇÃO DO IMÓVEL,DEFESA DE APREENSÃO DE MERCADORIAS E BENS,CERTIDÃO DE EXISTÊNCIA DE LOTE,ADMINISTRATIVO - SEAD,PEQUENOS REPAROS PARTE ELÉTRICA ,AUTORIZAÇÃO PARA COLOCAÇÃO DE PLACAS EM JAZIGO PERPÉTUO,AUTO DE INFRAÇÃO DE OBRAS,ALVARA DE LOCALIZAÇÃO E FUNCIONAMENTO- EVENTO,ORDEM JUDICAL - CONSULTA ESPECIALIZADA,APOSENTADORIA VOLUNTÁRIA,TRANSFERÊNCIA PERMUTA - EDUCAÇÃO,PRESCRIÇÃO DÉBITOS TRIBUTÁRIOS,DENÚNCIA DESCUMPRIMENTO DE OBRIGAÇÃO ACESSÓRIA, DIRETRIZES PARA EMPREENDIMENTO DE IMPACTO (DEI),PERDA DE PRAZO DOIS DIAS ÚTEIS,REMISSÃO DE TRÍBUTOS – LC157/2013,CHAMAMENTO PÚBLICO Nº 003/2018 – SERVIÇO SOCIOASSISTENCIAL À POPULAÇÃO EM SITUAÇÃO DE RUA DO MUNICÍPIO DE CONTAGEM ,DADOS CADASTRAIS – SERVIDOR  APOSENTADO/PENSIONISTA,REANÁLISE / REPROVAÇÃO DE PROJETOS DE MOVIMENTAÇÃO DE TERRA/DRENAGEM,CERTIDÃO OU DECLARAÇÃO PARA FINS AMBIENTAIS,ENTRADA EM EXERCÍCIO,AUTORIZAÇÃO PARA TRANSPLANTE  DE ÁRVORE - ÁREA PARTICULAR,CANCELAMENTO DE TAXAS IMOBILIÁRIAS E CCSIP,REENQUADRAMENTO DE CARGO - APOSENTADO,JAZIGO PERPÉTUO CEMITÉRIO SÃO PEDRO - REGULARIZAÇÃO
ALVARÁ SANITÁRIO INICIAL - BAIXA COMPLEXIDADE,GRATIFICAÇÃO DE ATIVIDADE ESPECÍFICA - GAE - LEC 006/2005,AVALIAÇÃO DE DESEMPENHO - ESTÁGIO PROBATÓRIO,DECLARAÇÃO FUNCIONAL,CADASTRO DE ANUNCIANTE FIXO - ALTERAÇÃO,CERTIDÃO DE FÉRIAS PRÊMIO,ALTERAÇÃO DA ÁREA DA CONSTRUÇÃO,DEFESA DE EMBARGO DE FUNCIONAMENTO - ATIVIDADES URBANAS,CERTIDÃO DE METRAGEM,TERMO DE PERMISSÃO DE USO - BENS MÓVEIS,PEQUENOS REPAROS ENCANAMENTO E REDE HIDRÁULICA INTERNA ,AUTORIZAÇÃO PARA REFORMA DE JAZIGO  PERPÉTUO,AUTORIZAÇÃO PARA INSTALAÇÃO DE TAPUME,ALVARA DE LOCALIZAÇÃO E FUNCIONAMENTO - RENOVAÇÃO ,ORDEM JUDICAL - EQUIPAMENTOS,ABONO PERMANÊNCIA,EQUIPARAÇÃO SALARIAL -  LEI COMPLEMENTAR 090/2011,RESTITUIÇÃO CRÉDITOS TRIBUTÁRIOS,CANCELAMENTO OU SUBSTITUIÇÃO DE NOTA FISCAL DE SERVIÇOS ELETRÔNICA ,CERTIDÃO DE LOCALIZAÇÃO ( ESCOLA),PERÍCIA MÉDICA E SOCIAL - LICENÇA PARA ACOMPANHAMENTO,REMISSÃO DE DÉBITOS TRIBUTÁRIOS,CHAMAMENTO PÚBLICO PARA GESTÃO_ EM REGIME DE MÚTUA COOPERAÇÃO_ DE EQUIPAMENTOS PÚBLICOS DE SEGURANÇA ALIMENTAR E NUTRICIONAL SUSTENTÁVEL DO MUNICÍPIO ,CÓPIAS FÍSICAS DIVERSAS  (ACIMA DE 03 CÓPIAS) - INATIVOS E PENSIONISTAS,RENOVAÇÃO DE AUTORIZAÇÃO PARA MOVIMENTAÇÃO DE TERRA ,DEFESA DE AUTO DE FISCALIZAÇÃO AMBIENTAL,PRORROGAÇÃO DE POSSE,CORTE DE ÁRVORE - ÁREA PÚBLICA,REVISÃO DO LANÇAMENTO DE IMPOSTO PREDIAL E TERRITORIAL URBANO,DECLARAÇÃO PARA DEVIDOS FINS  - INATIVOS E PENSIONISAS,PROCESSO DE SINDICÂNCIA - SEAD
ALVARÁ SANITÁRIO INICIAL - BAIXA COMPLEXIDADE - ACADEMIA DE GINÁSTICA E/OU NATAÇÃO,GRATIFICAÇÃO DE ATIVIDADE TÉCNICA - GAT - LEC 199/2015,CONCURSO PÚBLICO,DESAVERBAÇÃO DE TEMPO DE SERVIÇO / CONTRIBUIÇÃO,CADASTRO DE ANUNCIANTE FIXO - BAIXA,FÉRIAS PRÊMIO GOZO,ALTERAÇÃO DA UTILIZAÇÃO DO IMÓVEL,DEFESA DE FISCALIZAÇÃO DE FUNCIONAMENTO - ATIVIDADES URBANAS,ALVARÁ URBANÍSTICO,TERMO DE PERMISSÃO DE USO - BENS IMÓVEIS,PEQUENOS REPAROS DE CARPINTARIA ,AUTORIZAÇÃO PARA USO DE  CÂMARA ÓSSEA,DEFESA DE AUTO DE FISCALIZAÇÃO OBRAS,ENQUADRAMENTO EM USO DESCONFORME DA LEI 082/2010,ORDEM JUDICAL - EXAMES,PENSÃO POR MORTE,PLANO DE CARGOS_ CARREIRA E VENCIMENTO - LEI COMPLEMENTAR 090/2011,PARCELAMENTO DE DÉBITOS TRIBUTÁRIOS,ANÁLISE CRÉDITO TRIBUTÁRIO,AUTORIZAÇÃO PARA CONSTRUÇÃO DE MURO DE ARRIMO,PERÍCIA MÉDICA E SOCIAL - RESTRIÇÃO MÉDICA,CONSULTA LEGISLAÇÃO TRIBUTÁRIA,CHAMAMENTO PÚBLICO Nº 002/2021 – SMDS - GESTÃO- EM REGIME DE MÚTUA COOPERAÇÃO DE EQUIP. PÚBLICOS DE SEG. ALIMENTAR E NUTRICIONAL SUSTENTAVEL,IMPOSTO DE RENDA - APOSENTADO/PENSIONISTA,APROVAÇÃO DE PROJETO DE DRENAGEM E DE TERRAPLENAGEM – MEIO AMBIENTE ,DEFESA DE AUTO DE INFRAÇÃO AMBIENTAL,Admissão ,PLANTIO  DE ÁRVORE  - ÁREA PÚBLICA                                                                                                                    ,REVISÃO DO LANÇAMENTO DE TAXAS IMOBILIÁRIAS E CCSIP,REVERSÃO DE APOSENTADORIA POR INVALIDEZ,TESTE PARA IDENTIFICAÇÃO DE PESSOA INUMADA
ALVARÁ SANITÁRIO INICIAL - BAIXA COMPLEXIDADE - ÓTICAS,GRATIFICAÇÃO DE DESEMPENHO DE ATIVIDADE FISCAL - GAF- LEC 128/2011,PROCESSO SELETIVO SIMPLIFICADO,DOSSIÊ FUNCIONAL ,CADASTRO DE ANUNCIANTE MÓVEL - ALTERAÇÃO,FÉRIAS PRÊMIO PAGAMENTO,ALTERAÇÃO DAS CARACTERÍSTICAS DO LOGRADOURO,DEFESA DE INFRAÇÃO DE FUNCIONAMENTO - ATIVIDADES URBANAS,DESMEMBRAMENTO / REMEMBRAMENTO PARA FINS RURAIS,TERMO DE CESSÃO DE USO DE BENS IMÓVEIS,PEQUENOS SERVIÇOS DE SERRALHERIA ,EXUMAÇÃO/TRANSLADO DE RESTOS MORTAIS,DEFESA DE AUTO DE INFRAÇÃO DE OBRAS,ALVARÁ DE LOCALIZAÇÃO E FUNCIONAMENTO - EVENTO (ÁREA PÚBLICA),ORDEM JUDICAL - MATERIAL MÉDICO E INSUMO,AFASTAMENTO PRELIMINAR PARA FINS DE APOSENTADORIA,PROGRESSÃO FUNCIONAL POR MÉRITO - LEC 090/2011 (EDUCAÇÃO),TERMO DE NOTIFICAÇÃO FISCAL – FISCALIZAÇÃO DA RECEITA MUNICIPAL,AINF – AUTO DE INFRAÇÃO E NOTIFICAÇÃO FISCAL ,ATESTADO DE CUMPRIMENTO DE DEI/TCO,PERÍCIA MÉDICA E SOCIAL - DOENÇAS RESPIRATÓRIAS INFECTOCONTAGIOSAS,REMISSÃO IPTU POR DOENÇA INCAPACITANTE DE NATUREZA GRAVE,CHAMAMENTO PÚBLICO Nº 009/2022 – SMDS - SSAN,ALTERAÇÃO DE DADOS CADASTRAIS - INATIVOS E PENSIONISTAS,PROJETO TÉCNICO DE RECONSTITUIÇÃO DE FLORA - PTRF,DEFESA DE EMBARGO / INTERDIÇÃO DE FUNCIONAMENTO AMBIENTAL,OPÇÃO DE VENCIMENTO ,PODA   DE ÁRVORE - ÁREA PÚBLICA                                                                                         ,CERTIDÃO DE PAGAMENTO DE ITBI,REVISÃO DE PROVENTOS - INATIVOS E PENSIONISTAS,Chamamento Público 
ALVARÁ SANITÁRIO INICIAL - GR ALIMENTO - COZ. INDUST- INDÚSTRIAS ALIM.- BUFFETS- EMPACOTADORA/BENEFIC.DE ALIMENTOS- UNIDADES DE ALIMENTOS E NUTRIÇÃO.,GRATIFICAÇÃO DE DESEMPENHO DE DIREÇÃO ESCOLAR - GRADE-LEC 90/2011,CLASSIFICAÇÃO DE CARGO E ENQUADRAMENTO,ESTABILIDADE FINANCEIRA,CADASTRO DE ANUNCIANTE MÓVEL - INSCRICAO,INCLUSÃO DE DEPENDENTES - IRRF,ALTERAÇÃO DAS CARACTERÍSTICAS DO TERRENO,DEFESA DE INTIMAÇÃO SANITÁRIA,DIRETRIZES  URBANÍSTICAS PARA PARCELAMENTO DO SOLO E MODIFICAÇÕES,SINDICÂNCIA INVESTIGATIVA -SEAD,PEQUENOS REPAROS FEITOS POR PEDREIRO,REBAIXAMENTO DE GAVETA DE JAZIGO PERPÉTUO,DEFESA DE AUTO DE EMBARGO / INTERDIÇÃO DE OBRAS,ALVARA DE LOCALIZAÇÃO E FUNCIONAMENTO- EVENTO 2.ª VIA ,ORDEM JUDICAL - MEDICAMENTOS,APOSENTADORIA POR INVALIDEZ,PROGRESSÃO POR TITULAÇÃO OU QUALIFICAÇÃO - LEC 090/2011 (EDUCAÇÃO),AUTO DE INFRAÇÃO – FISCALIZAÇÃO DA RECEITA MUNICIPAL,CANCELAMENTO DE REGISTROS NO SISTEMA DE GESTÃO DE TRIBUTOS - CADASTRO 9,ESTUDO DE VIABILIDADE URBANÍSTICA PARA INSTALAÇÃO DE INFRAESTRUTURA E SUPORTE DE ANTENA ,PERÍCIA MÉDICA  E SOCIAL - RECURSO,REMISSÃO DE IPTU E TAXAS PARA ENTIDADES SEM FINS LUCRATIVOS - ART. 22 DA LC 289/2019,CHAMAMENTO PÚBLICO SMDS - 001/2023,DESCONTO INDEVIDO - INATIVOS E PENSIONISTAS,PROJETO DE RECUPERAÇÃO DE ÁREA DEGRADADA-PRAD,PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTOS DE EXIGENCIAS - MEIO AMBIENTE,ESTÁGIO ADMINISTRATIVO,TRANSPLANTE  DE ÁRVORE - ÁREA PÚBLICA,CREDENCIAMENTO DE USUÁRIOS SISTEMA DE ITBI,HABILITAÇÃO DE DEPENDENTE - INATIVOS E PENSIONISTAS,DESCREDENCIAMENTO DE EMPRESA PRESTADORA DE SERVIÇOS FUNERÁRIOS
ALVARÁ SANITÁRIO INICIAL - GRUPO DE PRODUTOS - DISTRIBUIDORAS - IMPORTADORAS E EXPORTADORAS,GRATIFICAÇÃO DE DESEMPENHO DE FUNÇÃO DE CONFIANÇA - LEC 202/2016,ENQUADRAMENTO DE  CARGO,PRORROGAÇÃO DE LICENÇA MATERNIDADE (CONTRATO/COMISSIONADO),INSCRIÇÃO DE MICROEMPREENDEDOR INDIVIDUAL (MEI),JORNADA DE TRABALHO - REDUÇÃO LEI 2073/1990,ALTERAÇÃO DE ENDEREÇO DO IMÓVEL,SOLICITAÇÃO DE FISCALIZAÇÃO DE LOTES VAGOS (DENÚNCIA),LIBERAÇÃO DE GARANTIA,REAJUSTE DE PREÇOS - CONTRATO ADMINISTRATIVO,REPAROS DE FECHADURAS E CHAVEIROS ,SEGUNDA VIA DE TÍTULO  DE JAZIGO PERPÉTUO ,PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTO DE EXIGÊNCIAS TÉCNICAS - EDIFICAÇÕES,ALVARÁ DE LOCALIZAÇÃO E FUNCIONAMENTO - INICIAL,ORDEM JUDICAL - RECURSOS HUMANOS,APOSENTADORIA ESPECIAL,DOCUMENTOS FUNCIONAIS - SEDUC,DÍVIDA ATIVA – INTERNO,CANCELAMENTO DE REGISTROS NO SISTEMA DE GESTÃO DE TRIBUTOS - CADASTRO 8,MORAR CONTAGEM – PAD,PERÍCIA MÉDICA E SOCIAL - ATESTADO DE 01 ATÉ 03 DIAS,REMISSÃO DE IPTU IMÓVEIS ATINGIDOS POR ENCHENTES/ALAGAMENTOS - ART. 5º DA LC 289/2019 ,CHAMAMENTO PÚBLICO Nº 003/2023– SMDS ,INCLUSÃO DE DEPENDENTES IRRF - APOSENTADOS E PENSIONISTAS,PARECER TÉCNICO DE VIABILIDADE AMBIENTAL-PVTA,SOLICITAÇÃO DE FISCALIZAÇÃO - MEIO AMBIENTE (DENÚNCIA),ATO ADMINISTRATIVO,AUTORIZAÇÃO PARA SUPRESSÃO DE ÁRVORE,,,
ALVARÁ SANITÁRIO INICIAL - GRUPO DE PRODUTOS - DROGARIAS,GRATIFICAÇÃO DE DESEMPENHO DE FUNÇÃO DE CONFIANÇA DE VICE-DIRETOR DE ESCOLA -LEC 90/2011,TRANSPOSIÇÃO DE PLANO DE CARGOS- CARREIRA E VENCIMENTO,LICENÇA PARA ATIVIDADES POLITICAS,CADASTRO DE EMPRESA - ATUALIZAÇÃO,SALÁRIO FAMÍLIA,AVERBAÇÃO DE NOME DE PROPRIETÁRIO DE IMÓVEIS,SOLICITAÇÃO DE FISCALIZAÇÃO DE POSTURAS (DENÚNCIA),OFICIALIZAÇAO DE VIAS,INVASÕES DE ÁREA VERDE,DEMANDAS DE JARDINAGEM ,SEPULTAMENTO PARTICULAR,SOLICITAÇÃO DE FISCALIZAÇÃO DE OBRAS (DENÚNCIA),ALVARÁ DE LOCALIZAÇÃO E FUNCIONAMENTO - ALTERAÇÃO DE ÁREA,ORDEM JUDICAL - SAÚDE MENTAL,APOSENTADORIA JUDICIAL,LICENÇA PARA PARTICIPAÇÃO EM EVENTOS PARA CAPACITAÇÃO - SEDUC,REFIS 2017 - PARCELADO,CANCELAMENTO DE GUIAS - GISSONLINE,DIRETRIZES SIMPLIFICADAS PARA CONJUNTOS RESIDENCIAIS ,PERÍCIA MÉDICA– ACIDENTE DE TRABALHO,ISENÇÃO DE IPTU  APOSENTADOS E PENSIONISTAS - ARTIGO 12 DA LC 305/2021,CHAMAMENTO PÚBLICO Nº 04/2023 - SMDS ,ACERTO - APOSENTADO/PENSIONISTA,APROVAÇÃO DE PROJETO PAISAGÍSTICO,AUTO DE EMBARGO/ INTERDIÇÃO AMBIENTAL,,,,,
